rubro;mercado;procedencia;especie;variedad;unidad;cantidad_observaciones;cantidad_fechas_distintas;cantidad_meses_distintos;cantidad_fechas_disponibles;fecha_minima;fecha_maxima;cantidad_meses_disponibles;precio_promedio;precio_min;precio_max;coeficiente_variacion;porcentaje_precios_validos;indicador_serie_utilizable
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ACHICORIA;(sin informar);$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;629.8773;320.0000;5000.0000;0.6159;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;BROTE ALFA;(sin informar);$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;8966.2577;8000.0000;11000.0000;0.0776;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;BROTE SOJA;(sin informar);$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;7505.5215;6000.0000;9000.0000;0.1259;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;HONGOS;Oyster;$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;18846.6258;16000.0000;21000.0000;0.0827;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;HONGOS;Portobelo;$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;19607.3620;16000.0000;22000.0000;0.0793;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;HONGOS;Shiitake;$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;17976.6871;15500.0000;23000.0000;0.1270;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;LECHUGA;Capuchina;$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;1121.7796;666.6700;1750.0000;0.2847;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;LECHUGA;Francesa;$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;1237.6534;625.0000;2625.0000;0.3100;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;MENTA;(sin informar);$/Kg;163;155;8;155;2026-01-02;2026-08-24;8;9357.6687;9000.0000;9700.0000;0.0225;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;RUCULA;(sin informar);$/Kg;163;153;8;153;2026-01-02;2026-08-24;8;1962.3718;900.0000;3666.6700;0.3342;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ACUSAY;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;822.8190;730.0000;950.0000;0.0551;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);CHAUCHA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1897.1706;1012.5000;3320.8400;0.3086;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);CHOCLO;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1418.1531;516.6700;3866.6700;0.6184;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);CIBOULLE;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;10038.8889;9400.0000;11000.0000;0.0579;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);CILANDRO;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;9662.3457;9000.0000;10000.0000;0.0287;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);CURCUMA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;4302.4691;2500.0000;5500.0000;0.1426;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ESCAROLA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1241.9136;800.0000;1950.0000;0.2435;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ESPINACA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1758.5185;1020.0000;2700.0000;0.2344;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);HINOJO;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;877.0370;640.0000;1000.0000;0.0991;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);MANDIOCA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;647.1451;325.0000;800.0000;0.2092;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);PUERRO;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;2720.6790;2050.0000;4350.0000;0.1959;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);RABANITO;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1910.3704;1400.0000;2800.0000;0.2320;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);RADICHETA;Prom.Esp.;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1564.6111;750.0000;3083.3400;0.2858;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Brasil;CURCUMA;Sin Varied;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;4330.8642;2500.0000;5500.0000;0.1414;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;CIBOULLE;(sin informar);$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;10038.8889;9400.0000;11000.0000;0.0579;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;CILANDRO;(sin informar);$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;9662.3457;9000.0000;10000.0000;0.0287;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ESCAROLA;Hoja Ancha;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1138.5185;700.0000;1900.0000;0.2644;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ESCAROLA;Hoja Fina;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1345.3086;880.0000;2000.0000;0.2290;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;HINOJO;(sin informar);$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;877.0370;640.0000;1000.0000;0.0991;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;RABANITO;(sin informar);$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1910.3704;1400.0000;2800.0000;0.2320;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;RADICHETA;1Er.Corte;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1889.7126;933.3300;3666.6700;0.2821;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;RADICHETA;2Do.Corte;$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;1239.5062;566.6700;2500.0000;0.3005;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Misiones;MANDIOCA;(sin informar);$/Kg;162;154;8;154;2026-01-02;2026-08-24;8;647.1451;325.0000;800.0000;0.2092;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;S.Bs.As.;CEBOLLA;Colorada;$/Kg;162;116;7;116;2026-02-09;2026-08-24;7;794.5988;575.0000;1150.0000;0.1737;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);REMOLACHA;Prom.Esp.;$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;819.5268;500.0000;1060.0000;0.1692;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);REPOLLO;Prom.Esp.;$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;614.6589;483.3300;788.0900;0.0962;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ROMERO;Prom.Esp.;$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;9054.6584;8400.0000;9600.0000;0.0472;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);RUCULA;Prom.Esp.;$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;1966.2523;900.0000;3666.6700;0.3306;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);SALVIA;Prom.Esp.;$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;8583.8509;7400.0000;9500.0000;0.0745;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ROMERO;(sin informar);$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;9054.6584;8400.0000;9600.0000;0.0472;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;SALVIA;(sin informar);$/Kg;161;153;8;153;2026-01-02;2026-08-24;8;8583.8509;7400.0000;9500.0000;0.0745;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);CIRUELA;Prom.Esp.;$/Kg;160;133;8;133;2026-01-02;2026-08-24;8;3671.7574;2050.0000;6666.6700;0.4421;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;MANDARINA;Dancy;$/Kg;160;66;4;66;2026-05-18;2026-08-24;4;742.7085;555.5600;1055.5600;0.1812;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;HONGOS;Agaricus;$/Kg;160;152;8;152;2026-01-02;2026-08-24;8;17725.0000;15000.0000;20000.0000;0.0788;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mar del Plata;TOMATE;Perita;$/Kg;160;79;5;79;2026-01-07;2026-05-07;5;801.5621;388.8900;2222.2200;0.4404;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;ZAPALLO;Tetsukab.;$/Kg;160;152;8;152;2026-01-07;2026-08-24;8;558.8189;416.6700;944.4400;0.2497;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;San Pedro;BATATA;Beauregard;$/Kg;160;152;8;152;2026-01-07;2026-08-24;8;1751.4201;1181.8200;2363.6400;0.1531;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Salta;POMELO;Star Ruby;$/Kg;159;124;7;124;2026-02-13;2026-08-24;7;1308.8055;833.3300;2466.6700;0.2480;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);MANDARINA;Prom.Esp.;$/Kg;158;131;7;131;2026-02-02;2026-08-24;7;935.5891;462.9600;2800.0000;0.6441;100.0000;Alta
Hortalizas;(sin informar);Mendoza;AJO MORADO CHINO;(sin informar);$/Kg;158;56;8;56;2026-01-02;2026-08-24;8;21227.8481;6000.0000;42000.0000;0.3221;100.0000;Alta
Hortalizas;(sin informar);Corrientes;TOMATE CHERRY;(sin informar);$/Kg;157;83;9;83;2026-01-05;2026-12-25;9;5284.7134;700.0000;36000.0000;1.0558;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Mar del Plata;FRUTILLA;(sin informar);$/Kg;156;112;6;112;2026-01-02;2026-06-19;6;11223.7179;4600.0000;31500.0000;0.5849;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);PACK CHOY;Prom.Esp.;$/Kg;155;147;8;147;2026-01-02;2026-08-24;8;2608.8170;2166.6700;3166.6700;0.1009;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;PACK CHOY;(sin informar);$/Kg;155;147;8;147;2026-01-02;2026-08-24;8;2608.8170;2166.6700;3166.6700;0.1009;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);MAMON;Prom.Esp.;$/Kg;153;143;8;143;2026-01-02;2026-08-05;8;2288.1435;900.0000;3200.0000;0.2697;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);OREGANO;Prom.Esp.;$/Kg;153;145;8;145;2026-01-02;2026-08-24;8;9391.5033;9000.0000;9600.0000;0.0199;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;OREGANO;(sin informar);$/Kg;153;145;8;145;2026-01-02;2026-08-24;8;9391.5033;9000.0000;9600.0000;0.0199;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Salta;LIMON;Eureka;$/Kg;152;99;7;99;2026-02-27;2026-08-24;7;976.0930;647.0600;1611.1100;0.3105;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;TOMATE;Redondo;$/Kg;152;64;5;64;2026-04-20;2026-08-24;5;1800.4387;500.0000;2555.5600;0.2699;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Mendoza;MELON;Rocio Miel;$/Kg;151;88;5;88;2026-01-02;2026-05-14;5;1905.2980;1100.0000;2700.0000;0.2398;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ALBAHACA;(sin informar);$/Kg;150;142;8;142;2026-01-02;2026-08-24;8;485.7333;200.0000;1000.0000;0.3692;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);MEMBRILLO;Prom.Esp.;$/Kg;149;122;7;122;2026-02-20;2026-08-24;7;2149.8983;900.0000;3500.0000;0.1815;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ENDIBIA;Prom.Esp.;$/Kg;149;142;8;142;2026-01-02;2026-08-24;8;12418.7919;1900.0000;22500.0000;0.6163;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ENDIBIA;(sin informar);$/Kg;149;142;8;142;2026-01-02;2026-08-24;8;12418.7919;1900.0000;22500.0000;0.6163;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;LECHUGA;Capuchina;$/Kg;149;143;8;143;2026-01-16;2026-08-24;8;1253.5799;808.3300;2000.0000;0.2334;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Chile;MANZANA;Red Delici;$/Kg;148;121;7;121;2026-01-02;2026-08-24;7;3555.9320;2722.2200;3777.7800;0.0517;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);COLIFLOR;Prom.Esp.;$/Kg;148;140;8;140;2026-01-02;2026-08-24;8;1055.3849;526.6700;1800.0000;0.2966;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;CHAUCHA;Rolliza;$/Kg;148;75;4;75;2026-05-04;2026-08-24;4;2313.9076;1500.0000;3250.0000;0.1734;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Corrientes;LIMON;Eureka;$/Kg;146;119;7;119;2026-02-23;2026-08-24;7;699.9623;500.0000;1111.1100;0.2594;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);KALE;Prom.Esp.;$/Kg;146;138;8;138;2026-01-02;2026-08-24;8;1044.6575;330.0000;2000.0000;0.4280;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;COLIFLOR;(sin informar);$/Kg;146;138;8;138;2026-01-02;2026-08-24;8;982.5115;526.6700;1666.6700;0.2706;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;KALE;Crespo;$/Kg;146;138;8;138;2026-01-02;2026-08-24;8;1043.9726;330.0000;2000.0000;0.4281;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;MANDARINA;Okitzu;$/Kg;141;55;4;55;2026-02-27;2026-05-21;4;573.0878;333.3300;1722.2200;0.3905;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;ZAPALLO;Anc.Cokena;$/Kg;140;132;7;132;2026-02-03;2026-08-24;7;756.4762;433.3300;1566.6700;0.5492;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ARVEJA;Prom.Esp.;$/Kg;139;134;8;134;2026-01-02;2026-08-24;8;2476.1241;1137.5000;5750.0000;0.4332;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;ZAPALLO;Anquito;$/Kg;138;131;7;131;2026-01-07;2026-07-23;7;472.0777;306.6700;1066.6700;0.4169;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);BERRO;Prom.Esp.;$/Kg;135;129;8;129;2026-01-02;2026-08-24;8;2346.6667;1850.0000;2800.0000;0.1189;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;BERRO;(sin informar);$/Kg;135;129;8;129;2026-01-02;2026-08-24;8;2346.6667;1850.0000;2800.0000;0.1189;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Grecia;KIWI;(sin informar);$/Kg;133;79;5;79;2026-01-02;2026-05-12;5;5709.1897;3777.7800;7800.0000;0.1762;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Brasil;PAPA;Agata;$/Kg;132;128;8;128;2026-01-02;2026-08-24;8;1105.4545;840.0000;1720.0000;0.2334;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;PIMIENTO;Morron;$/Kg;132;76;5;76;2026-01-12;2026-05-07;5;1347.5758;800.0000;2600.0000;0.3172;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);MANI;Prom.Esp.;$/Kg;131;130;7;130;2026-01-02;2026-07-23;7;3949.2366;2700.0000;7000.0000;0.3625;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;PIMIENTO;Jalapeño;$/Kg;131;60;4;60;2026-05-27;2026-08-24;4;3362.5954;2750.0000;4750.0000;0.1776;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;S.Bs.As.;ZAPALLO;Tetsukab.;$/Kg;130;122;7;122;2026-02-20;2026-08-24;7;585.0003;388.8900;944.4400;0.2666;100.0000;Alta
Frutas;(sin informar);Mendoza;KIWI;(sin informar);$/Kg;129;56;8;56;2026-01-05;2026-08-24;8;63674.4186;40000.0000;77000.0000;0.1083;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Chile;MANZANA;Granny Smi;$/Kg;128;101;6;101;2026-03-25;2026-08-24;6;3609.8104;3388.8900;3888.8900;0.0256;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;LECHUGA;Morada;$/Kg;128;121;7;121;2026-01-02;2026-07-02;7;1755.6250;980.0000;4000.0000;0.3493;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);PELON;Prom.Esp.;$/Kg;126;105;7;105;2026-01-02;2026-08-14;7;6304.3913;2197.2200;16750.0000;0.7079;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Chile;TOMATE;Redondo;$/Kg;126;60;4;60;2026-05-11;2026-08-07;4;2583.8189;1611.1100;2944.4400;0.1039;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);NUEZ;Prom.Esp.;$/Kg;125;99;7;99;2026-01-02;2026-08-24;7;7617.6000;6600.0000;7800.0000;0.0514;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;NARANJA;New Hall;$/Kg;125;98;6;98;2026-03-30;2026-08-24;6;798.6657;611.1100;1277.7800;0.1210;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;TOMATE;Cherry;$/Kg;125;69;4;69;2026-05-13;2026-08-24;4;3090.5600;1280.0000;5800.0000;0.3408;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;MANDARINA;Ellendale;$/Kg;124;40;3;40;2026-06-25;2026-08-24;3;696.2357;611.1100;888.8900;0.1171;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Colombia;BANANA;Cavendish;$/Kg;123;122;7;122;2026-01-02;2026-07-24;7;1382.1138;1150.0000;1700.0000;0.1082;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Jujuy;PALTA;Hass;$/Kg;123;96;5;96;2026-04-01;2026-08-24;5;4613.8211;3800.0000;6600.0000;0.1882;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ZAPALLITO;Redondo;$/Kg;123;75;4;75;2026-01-02;2026-04-24;4;489.4307;200.0000;1200.0000;0.5204;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;CHOCLO;Amarillo;$/Kg;123;72;5;72;2026-04-27;2026-08-24;5;2170.4608;1066.6700;3866.6700;0.3080;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;PEPINO;(sin informar);$/Kg;122;90;5;90;2026-04-13;2026-08-24;5;1204.4627;444.4400;2111.1100;0.3638;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;MEMBRILLO;(sin informar);$/Kg;121;93;6;93;2026-03-20;2026-08-24;6;2459.5041;1700.0000;5000.0000;0.2097;100.0000;Alta
Hortalizas;(sin informar);Corrientes;OREGANO;(sin informar);$/Kg;121;78;9;78;2026-01-05;2026-12-25;9;5704.1322;1000.0000;12000.0000;0.4251;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;San Juan;MELON;Rocio Miel;$/Kg;120;88;5;88;2026-01-02;2026-05-14;5;1996.6667;1300.0000;2800.0000;0.2171;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Brasil;UVA;Arra 15;$/Kg;119;93;6;93;2026-01-02;2026-08-24;6;7352.9412;5750.0000;8250.0000;0.0979;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Río Negro;CEBOLLA;Valenciana;$/Kg;119;111;6;111;2026-03-06;2026-08-24;6;704.8319;365.0000;1250.0000;0.3255;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Mendoza;UVA;Red Globe;$/Kg;118;99;5;99;2026-03-03;2026-07-30;5;3381.1667;1200.0000;5222.2200;0.4600;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Brasil;SANDIA;(sin informar);$/Kg;116;66;4;66;2026-05-08;2026-08-24;4;1603.3405;1200.0000;2000.0000;0.1372;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Salta;MANI;(sin informar);$/Kg;116;115;7;115;2026-01-02;2026-07-23;7;4076.7241;2800.0000;7000.0000;0.3607;100.0000;Alta
Hortalizas;(sin informar);Corrientes;CHAUCHA MUSICA;(sin informar);$/Kg;116;66;9;66;2026-01-05;2026-12-25;9;18318.9655;5000.0000;38000.0000;0.5082;100.0000;Alta
Hortalizas;(sin informar);Mendoza;TOMATE PERITA;(sin informar);$/Kg;115;43;6;43;2026-01-05;2026-06-08;6;22943.4783;12000.0000;40000.0000;0.2414;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);NABO;Prom.Esp.;$/Kg;115;107;8;107;2026-01-23;2026-08-24;8;1133.8556;640.0000;1500.0000;0.2479;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;ALBAHACA;(sin informar);$/Kg;115;107;6;107;2026-03-13;2026-08-24;6;544.7826;240.0000;950.0000;0.2819;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;PEPINO;(sin informar);$/Kg;114;85;5;85;2026-01-02;2026-05-11;5;615.5554;166.6700;1533.3300;0.5585;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;CIRUELA;Larry Anne;$/Kg;113;80;5;80;2026-02-04;2026-06-08;5;2519.6165;888.8900;2750.0000;0.0894;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);HIGO;Prom.Esp.;$/Kg;112;111;6;111;2026-01-02;2026-06-25;6;10227.6786;7000.0000;15000.0000;0.1666;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;ARANDANO;(sin informar);$/Kg;112;86;5;86;2026-01-02;2026-08-24;5;35672.6176;7000.0000;96666.7000;0.7748;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Jujuy;HIGO;(sin informar);$/Kg;112;111;6;111;2026-01-02;2026-06-25;6;10227.6786;7000.0000;15000.0000;0.1666;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Mendoza;NUEZ;(sin informar);$/Kg;112;86;6;86;2026-01-02;2026-08-24;6;7735.7143;7000.0000;7800.0000;0.0246;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);RADICCHIO;Prom.Esp.;$/Kg;112;104;7;104;2026-01-02;2026-08-24;7;5119.6429;4000.0000;8000.0000;0.2610;100.0000;Alta
Hortalizas;(sin informar);Mendoza;LECHUGA REPOLLADA;(sin informar);$/Kg;109;50;8;50;2026-01-05;2026-08-24;8;18013.7615;12000.0000;37000.0000;0.3350;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;BERENJENA;Vta.Med.La;$/Kg;109;102;6;102;2026-01-07;2026-07-27;6;1053.4408;450.0000;2000.0000;0.3936;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);GRANADA;Prom.Esp.;$/Kg;108;103;7;103;2026-02-23;2026-08-03;7;5817.1296;3125.0000;8000.0000;0.2264;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Córdoba;GRANADA;(sin informar);$/Kg;108;103;7;103;2026-02-23;2026-08-03;7;5842.5926;3250.0000;8000.0000;0.2181;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);ESPARRAGO;Prom.Esp.;$/Kg;108;105;8;105;2026-01-02;2026-08-24;8;12602.4385;1700.0000;17000.0000;0.3041;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;CHAUCHA;Esmeralda;$/Kg;108;100;6;100;2026-03-25;2026-08-24;6;2061.2037;1000.0000;3500.0000;0.3254;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;ZAPALLITO;Redondo;$/Kg;108;100;6;100;2026-03-25;2026-08-24;6;1083.0759;388.8900;2000.0000;0.4505;100.0000;Alta
Frutas;(sin informar);Corrientes;NARANJA OMBLIGO;(sin informar);$/Kg;106;43;6;43;2026-03-17;2026-08-24;6;14650.9434;10000.0000;40000.0000;0.2970;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Salta;NARANJA;Salustiana;$/Kg;106;79;5;79;2026-04-01;2026-08-24;5;806.0792;555.5600;1222.2200;0.2501;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;CIRUELA;Blackamber;$/Kg;105;54;3;54;2026-01-02;2026-03-20;3;2397.6184;1750.0000;3250.0000;0.1761;100.0000;Alta
Hortalizas;(sin informar);Corrientes;LECHUGA MANTECOSA;(sin informar);$/Kg;105;53;6;53;2026-03-26;2026-08-25;6;9723.8095;5000.0000;18000.0000;0.2257;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;REPOLLO;Colorado;$/Kg;105;103;7;103;2026-01-16;2026-08-24;7;755.3172;600.0000;933.3300;0.1261;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;San Pedro;BATATA;Arapey;$/Kg;104;97;5;97;2026-02-03;2026-06-30;5;756.2125;653.8500;884.6200;0.0795;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;(sin informar);DURAZNO;Prom.Esp.;$/Kg;103;88;6;88;2026-01-02;2026-08-10;6;3964.5068;1902.4600;8600.0000;0.6015;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;(sin informar);TOMILLO;Prom.Esp.;$/Kg;103;96;6;96;2026-01-02;2026-08-24;6;9809.7087;8500.0000;12000.0000;0.0890;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;TOMILLO;(sin informar);$/Kg;103;96;6;96;2026-01-02;2026-08-24;6;9809.7087;8500.0000;12000.0000;0.0890;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Formosa;MAMON;(sin informar);$/Kg;102;92;6;92;2026-03-02;2026-08-05;6;1912.6074;1300.0000;2600.0000;0.1919;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;MANDARINA;Nova;$/Kg;101;74;5;74;2026-04-27;2026-08-24;5;581.4089;500.0000;944.4400;0.1596;100.0000;Alta
